fid,slope_clas,fid_2,aspect_cla,slope_mean,A_ava,cos_aspect,sin_aspect,aspect_mea,id,_mean,xcoord,ycoord
38,"2",40,"2",24.703037562514798,45.422640230934569,-0.901033051808675,0.400811699947173,156.018792470863332,"1",0.900000000000000,7.3259493698486,45.7531188344867
43,"1",38,"1",14.860565736889839,16.559988266331299,-0.469825844920706,0.868352442048490,118.415795888989550,"2",0.750000000000000,7.3215437476963,45.7530664811068
124,"1",133,"2",6.699571711676462,15.864334401553592,-0.894904754464589,0.119910314887954,172.368265301186710,"3",1.000000000000000,7.32112922282511,45.7528887315659
253,"1",359,"2",18.113562961616140,26.576777565550344,-0.939839470504534,-0.028429099994868,181.732605372207615,"4",0.666666666666667,7.32587169683743,45.7527510292665
257,"1",408,"2",11.088444455286091,22.681983750872782,-0.860684485582823,0.405278996302840,154.785198056650898,"5",1.000000000000000,7.32610442471404,45.7527372225753
260,"1",391,"2",15.778700018475371,158.791978076312489,-0.908926285730154,0.290655381063992,162.266824310304770,"6",0.945945945945946,7.32518086052121,45.7527786359785
314,"2",469,"1",31.694805540480058,32.626605975764583,-0.401437249034643,0.898112287929466,114.083636032945307,"7",1.000000000000000,7.32463510212172,45.752630608744
569,"1",1125,"2",16.512728691101074,17.477240824693290,-0.906340211185057,0.278462070917940,162.921057531895485,"8",1.000000000000000,7.3249791082208,45.750691338864
575,"1",1149,"2",18.270159955007315,36.082097490153181,-0.957892150556954,0.185351622264605,169.048638990424053,"9",0.875000000000000,7.32667642744571,45.7506821161386
703,"2",1332,"2",25.312846150765051,71.931212931373452,-0.963662410470156,0.158676867232274,170.649567771850457,"10",0.941176470588235,7.32314900002722,45.7492242633893
775,"2",1392,"1",32.814890845877223,36.305076805812526,-0.301562350430358,0.941819532484305,107.754609772194485,"11",1.000000000000000,7.32712923852249,45.7491390225208
775,"2",1390,"2",33.008939577498523,79.032433769272416,-0.908029130269896,0.377302447579942,157.436235933244149,"12",0.941176470588235,7.32700914166258,45.749143070466
775,"2",1420,"1",32.106345999730777,21.553310074905212,-0.428795918732984,0.873456436477295,116.147275387728499,"13",1.000000000000000,7.32692920040849,45.7490920640313
795,"1",1533,"2",17.229454439513539,25.660919991023398,-0.918996157086625,0.235733596010560,165.613132541850376,"14",1.000000000000000,7.32697817334203,45.7488474700981
963,"2",1744,"1",27.434744159924929,61.711330330948549,-0.233815951997916,0.962143661769013,103.658993941632048,"15",1.000000000000000,7.32700710530766,45.7484820157951
1001,"2",1806,"1",31.850524718944843,15.310292938207960,-0.177975120622880,0.980037443912946,100.292763292208463,"16",1.000000000000000,7.32575998789937,45.7481284329537
1105,"2",1959,"1",29.043927936326888,48.059781973012377,-0.315677646453315,0.933954179996536,108.675315673652946,"17",1.000000000000000,7.32776214279107,45.747608501328
1167,"2",2044,"2",28.545578351584815,26.477640259859644,-0.972494387818921,0.073740843568318,175.663759628957450,"18",0.857142857142857,7.32812645338733,45.7474600193334
1182,"2",2095,"2",22.358439083757073,15.684721544695790,-0.878474569526212,0.452848895356573,152.729139172083677,"19",1.000000000000000,7.32776123186366,45.747426747022
1184,"2",2047,"1",32.077391639588370,18.594920594021509,-0.380866167859899,0.913597454154302,112.630581578537601,"20",1.000000000000000,7.32832595642023,45.7474713133063
1184,"2",2093,"2",34.456512484634132,17.288683088243847,-0.961798417986485,-0.029355392513568,181.748202206430989,"21",0.750000000000000,7.32827346758487,45.7474051560269
1203,"3",2110,"1",42.412743488947555,40.649229003906811,-0.405025834838549,0.908548122147719,114.027054067493310,"22",1.000000000000000,7.32804484516692,45.7473939103483
1218,"1",2095,"2",19.466574849753545,15.385048398594199,-0.926742793157183,0.173278448737933,169.409363463758552,"23",0.750000000000000,7.32777888421662,45.7473737767494
1218,"1",2080,"3",16.117944108115303,18.743695282689895,-0.160151422423350,-0.979560940629906,260.714687767255668,"24",1.000000000000000,7.32769605588773,45.7474140439506
